CNPJ Emitente,Razão Social Emitente,Data Emissão,Valor Total da Nota,Vencimento1,Valor1,Vencimento2,Valor2,Vencimento3,Valor3,Produto,Quantidade,Vlr.Unitário,Vlr.Total Produto
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","BANANA PRATA","1,3900","6,6400000000","9.23"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","BATATA DOCE ESP","2,0000","8,0000000000","16,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","BATATA LAVADA","7,0000","5,3600000000","37,52"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","CEBOLA BRANCA","3,0000","2,3000000000","6,90"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","CENOURA","0,7800","6,0000000000","4,68"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","GENGIBRE","0,1500","10,6000000000","1,59"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","HORTELA","0,5000","9,6000000000","4,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","MACA VERDE","0,4300","15,6800000000","6,74"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","MANGA PALMER","1,2300","7,5200000000","9,25"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","MANJERICAO ROXO","1,0000","9,6000000000","9.60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","MORANGO","2,0000","9,0000000000","18,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","OVO BRANCO","1,0000","24,0000000000","24,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","PALMITO PUPUNHA","1,0000","19,2000000000","19,20"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","PIMENTAO VERMELHO","0,4000","22,0000000000","8,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","RUCULA HIDROPONICA","2,0000","4,0000000000","8.00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","SALSA CRESPA","2,0000","6,4000000000","12,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","TOMATE CEREJA","1,0000","3,5200000000","3,52"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","TOMATE CEREJA AMARELO","1,0000","8,0000000000","8.00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","TOMATE SALADA","5,0000","10,4000000000","52.00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","TOMILHO","1,0000","8,0000000000","8,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,03/11/2025,"401,85",11/11/2025,"401,85",,"0,00",,"0,00","CEBOLINHA INDUSTRIAL","1,0000","10,4000000000","10,40"
30.161.877/0001-25,IMF REPRESENTACAO DE ALIMENTOS LTDA,05/11/2025,"668,76",12/11/2025,"668,76",,"0,00",,"0,00","QUEIJO PARMESAO ARROYO CABRAL","6.885","69,90","48126"
30.161.877/0001-25,IMF REPRESENTACAO DE ALIMENTOS LTDA,05/11/2025,"668,76",12/11/2025,"668,76",,"0,00",,"0,00","MANTEIGA LA MILK","5,000","37,50","187,50"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","AMENDOA S/PELE LAMINADA KINGFOOD FD10X1KG VAL APROX TRIBUTOS R$ 39.66 (42.69%) FONTE: IBPT","1,00","92,90","92.90"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","ARROZ BRANCO T1 CAMIL FD6X5KG VAL APROX TRIBUTOS R$ 16.49 (15.73) %FONTE: IBPT","4,00","26,20","104,80"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","CASTANHA DE CAJU XEREM LERYC PCT 1KG VAL APROX TRIBUTOS R$ 10.88 (32.09%) FONTE: IBPT","1.00","33,90","33.90"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","GRANULADO SABOR CHOCOLATE HARALD CX10X1,05KG VAL APROX TRIBUTOS R$ 8.13 (28.52%) FONTE: IBPT","1,00","28,50","28,50"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","LEITE DE COCO SOCOCO CX12X1LITRO VAL APROX TRIBUTOS R$ 203.79 (26.33%) FONTE: IBPT","24,00","32,25","774.00"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","MEL SILVESTRE POTE 1KG CX12 NOVO MEL VAL APROX TRIBUTOS R$ 28.82 (32.09%) FONTE: JBPT","2,00","44.90","89,80"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","REQUEIJAO BISNAGA (PURO] CATUPIRY CX12X1,54KG VAL APROX TRIBUTOS R$ 21.17 (32.09%) FONTE: IBPT","1,00","65,96","65,96"
21.498.077/0001-03,FORTE ALIMENTOS COMERCIO E IMP LTDA,27/10/2025,"1.229.56",11/11/2025,"614,78",18/11/2025,"614,78",,"0,00","MUSSARELA DE BUFALA (BOCCONCINO YEMA PCT 330GR VAL APROX TRIBUTOS R$ 12.74 (32.09%) FONTE: IBPT","2,00","19,85","39,70"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","AMENDOAS LAMINADAS 1 KG","","96,88","96,88"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","CALDO DE GALINHA KNORR 1,01KG","1","19.42","19,42"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","CALDO DE CARNE KNORR 1.01KG","","19,42","19,42"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","CALDO DELICIAS DO MAR KNORR 1,01KG","1","20.13","20,13"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","COCO RALADO FINO 1KG","11","37,94","37.94"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","CREME DE LEITE FRESCO ECILA 1,01 L","15","46.90","703,50"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","GRAO DE BICO PCT 1KG","2","11,53","23,06"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","MAC ESPAGUETE COM OVOS PETYBON 500G","3","4.99","14.97"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","MAC ESPAGUETE N 08 DIVELLA 500G","4","10.36","41,44"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","AMIDO DE MILHO MAIZENA 1KG","1","21.72","21,72"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","MASSA FOLHADA AROSA 1KG","4","44,76","179,04"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","OLEO DE GIRASSOL LIZA 900 ML","20","19,43","388.60"
09.640.611/0002-50,EMPORIO MeL COMERCIO DE ALIMENTOS E BI,03/11/2025,"1.602,45",10/11/25,"801,22",17/11/25,"801.23",,"0,00","FERMENTO EM PO ROYAL 250G","13","12.11","36.33"
00.923.077/0001-33,CALIMP IMP. EXP. LTDA,20-10-2025,"451,92",10/11/2025,"451,92",,"0,00",,"0,00","NASCARPONE UNT STERILGARDA 2000","24","18,83","451,92"
